                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8602,                 5.7411,                 6.4298,                 1.4409,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.2492,                 4.7834,                 7.0713,                  1.896,                 0.0001,                 0.0001,                 0.0001
                      2,                 3.6702,                 5.2731,                 5.9899,                 1.2987,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  3.337,                 3.5807,                 5.7915,                 1.3363,             0.00021564,             0.00021564,             0.00021564
                      3,                 2.7572,                 3.3653,                 3.2607,                 1.0148,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.4521,                 2.7907,                   4.71,                0.98952,             0.00032654,             0.00032654,             0.00032654
                      4,                 2.4573,                 2.8199,                 2.4197,                0.95246,                0.00091,                0.03448,                0.00052,                0.00013,                0.00682,                0.25862,                0.00522,                0.00142,                 2.3378,                 2.4436,                 4.4064,                0.93762,             0.00043268,             0.00043268,             0.00043268
                      5,                 2.1761,                 2.3469,                 2.0603,                0.89932,                0.00561,                0.21264,                0.00511,                0.00114,                0.00818,                0.31034,                0.00749,                 0.0024,                 2.0597,                 2.1952,                 4.0439,                0.87197,             0.00053406,             0.00053406,             0.00053406
                      6,                 2.0898,                 2.2188,                 1.9331,                0.87759,                0.01242,                0.47126,                0.01168,                0.00299,                0.01576,                 0.5977,                0.01575,                 0.0061,                 1.8938,                 2.0461,                   3.84,                0.84255,              0.0006307,              0.0006307,              0.0006307
                      7,                 2.0676,                 2.1011,                 1.7708,                0.86211,                0.01364,                0.51724,                0.01682,                0.00548,                0.01545,                0.58621,                0.01711,                0.00575,                 1.8131,                 1.9649,                 3.6886,                0.83231,             0.00072258,             0.00072258,             0.00072258
                      8,                 2.1639,                 2.1101,                  1.754,                0.87923,                0.01924,                0.72989,                0.02806,                0.01293,                0.01545,                0.58621,                0.01897,                0.00624,                 1.7902,                 2.6394,                 3.6443,                0.83013,             0.00080972,             0.00080972,             0.00080972
                      9,                 1.9127,                  1.893,                  1.572,                 0.8707,                0.02227,                0.84483,                0.03181,                0.01505,                0.02258,                0.85632,                0.03182,                 0.0133,                 1.8325,                 1.8013,                 3.3084,                0.84634,              0.0008921,              0.0008921,              0.0008921
                     10,                 1.9022,                 1.8092,                 1.5121,                0.85184,                0.02197,                0.83333,                0.23243,                0.13778,                0.02076,                0.78736,                0.16784,                0.05871,                 1.6711,                 1.7957,                 3.2098,                  0.832,             0.00096972,             0.00096972,             0.00096972
                     11,                 1.7663,                 1.7304,                 1.4185,                0.83233,                0.02364,                0.89655,                0.66184,                0.32928,                0.02439,                0.92529,                   0.56,                0.23156,                 1.7593,                 1.6953,                 2.8718,                 0.8438,              0.0010426,              0.0010426,              0.0010426
                     12,                 1.8219,                 1.8013,                 1.4335,                0.83023,                0.02379,                 0.9023,                0.71091,                0.35563,                0.02409,                0.91379,                0.55867,                 0.1768,                 1.7528,                 1.7953,                 2.7249,                0.84852,              0.0011107,              0.0011107,              0.0011107
                     13,                 1.8244,                 1.7268,                 1.3788,                0.85167,                0.93274,                 0.6376,                0.76803,                0.36145,                0.87389,                0.59737,                 0.7076,                0.30381,                 1.8246,                  1.597,                 2.5196,                0.86139,              0.0011741,              0.0011741,              0.0011741
                     14,                   1.81,                 1.6477,                 1.3198,                0.83907,                 0.9318,                0.33333,                0.74714,                0.32775,                0.78721,                0.28161,                0.58574,                0.19072,                 1.7899,                 1.5774,                  2.225,                0.82917,              0.0012327,              0.0012327,              0.0012327
                     15,                 1.8048,                 1.5958,                 1.3196,                0.83323,                0.96041,                0.41829,                 0.8114,                0.38974,                0.80206,                0.34933,                0.64916,                0.23046,                 1.6587,                 1.5704,                 2.0732,                0.82339,              0.0012866,              0.0012866,              0.0012866
